speaker_id,condition,n,wer_mean,wer_normalized_mean,wer_normalized_median,speaker_cosine_mean
1988,original,5,0.045128205128205125,0.04512820512820513,0.0,1.0
1988,pitch_+3,5,0.1304262404262404,0.13042624042624043,0.08333333333333333,0.24070972502231597
1988,pitch_-3,5,0.17240759240759237,0.1724075924075924,0.18181818181818182,0.1288185283541679
2035,original,5,0.03076923076923076,0.03076923076923077,0.0,1.0
2035,pitch_+3,5,0.23398601398601399,0.23398601398601399,0.23076923076923078,0.4124856472015381
2035,pitch_-3,5,0.21748251748251746,0.21748251748251746,0.16666666666666666,0.1877926707267761
2086,original,5,0.00784313725490196,0.00784313725490196,0.0,1.0
2086,pitch_+3,5,0.1356760443307758,0.1356760443307758,0.1,0.2681960046291351
2086,pitch_-3,5,0.2688860770852963,0.2688860770852964,0.30434782608695654,0.3261991798877716
2277,original,5,0.0,0.0,0.0,1.0
2277,pitch_+3,5,0.13290043290043285,0.1329004329004329,0.14285714285714285,0.20138362348079678
2277,pitch_-3,5,0.4284715284715285,0.4284715284715285,0.5,0.14654549062252042
7976,original,5,0.02,0.02,0.0,1.0
7976,pitch_+3,5,0.12751552795031054,0.12751552795031057,0.10714285714285714,0.1430207267403602
7976,pitch_-3,5,0.1342981366459627,0.13429813664596274,0.10714285714285714,0.18097651898860928
