utterance_id,delta_minus3,delta_plus3,max_absolute_delta
1988-147956-0000,0.23076923076923075,0.07692307692307693,0.23076923076923075
1988-147956-0001,0.05714285714285714,0.05714285714285714,0.05714285714285714
1988-147956-0002,0.16666666666666666,0.08333333333333333,0.16666666666666666
1988-147956-0003,0.0,-0.2,0.2
1988-147956-0004,0.18181818181818182,0.4090909090909091,0.4090909090909091
2035-147960-0000,0.15151515151515152,0.12121212121212122,0.15151515151515152
2035-147960-0001,0.0,0.1,0.1
2035-147960-0002,0.3846153846153846,0.23076923076923078,0.3846153846153846
2035-147960-0003,0.16666666666666666,0.3333333333333333,0.3333333333333333
2035-147960-0004,0.23076923076923078,0.23076923076923078,0.23076923076923078
2086-149214-0000,0.3333333333333333,0.1,0.3333333333333333
2086-149214-0001,0.05263157894736842,0.0,0.05263157894736842
2086-149214-0002,0.2549019607843137,0.2156862745098039,0.2549019607843137
2086-149214-0003,0.36,0.28,0.36
2086-149214-0004,0.30434782608695654,0.043478260869565216,0.30434782608695654
2277-149896-0000,0.3181818181818182,0.045454545454545456,0.3181818181818182
2277-149896-0001,0.038461538461538464,0.0,0.038461538461538464
2277-149896-0002,0.5,0.3333333333333333,0.5
2277-149896-0003,0.5714285714285714,0.14285714285714285,0.5714285714285714
2277-149896-0004,0.7142857142857143,0.14285714285714285,0.7142857142857143
7976-110124-0000,0.0,0.19999999999999998,0.19999999999999998
7976-110124-0001,0.30434782608695654,0.13043478260869565,0.30434782608695654
7976-110124-0002,0.10714285714285714,0.10714285714285714,0.10714285714285714
7976-110124-0003,0.16,0.0,0.16
7976-110124-0004,0.0,0.1,0.1
