scoring_rule,condition,n,reference_words,substitutions,deletions,insertions,utterance_mean_wer,corpus_wer
english_mr_mister_v1,original,25,554,8,0,1,0.020748114630467572,0.016245487364620937
english_mr_mister_v1,pitch_+3,25,554,62,11,9,0.15210085191875472,0.148014440433213
english_mr_mister_v1,pitch_-3,25,554,100,17,14,0.2443091704185795,0.2364620938628159
legacy,original,25,554,8,0,1,0.020748114630467572,0.016245487364620937
legacy,pitch_+3,25,554,62,11,9,0.15210085191875472,0.148014440433213
legacy,pitch_-3,25,554,100,17,14,0.2443091704185795,0.2364620938628159
