group,n,mean,median,min,max,q05,q25,q75,q95
different_speaker,250,0.14301416652835905,0.13897334784269333,-0.04618661105632782,0.31450316309928894,0.019413591921329503,0.09013905189931393,0.19690776243805885,0.26661179810762403
pitch_+3,25,0.25317298144102096,0.2411694973707199,0.09952326118946075,0.5027590394020081,0.10182036012411118,0.19672654569149017,0.30898791551589966,0.4480935454368589
pitch_-3,25,0.19404901802539826,0.17471632361412048,0.03911563754081726,0.39558398723602295,0.10141198635101319,0.1463550180196762,0.22778184711933136,0.3473150014877318
same_speaker,50,0.761970624923706,0.7670495510101318,0.5475165843963623,0.9010957479476929,0.6175352513790131,0.7091847211122513,0.8285556435585022,0.8803894430398941
